ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
0,2.7966,3,2.8104,2.0568,1.4052,0.6515,0.4637,1.4052,1.3031,0.2238,0.2238,3.0019,3.0019,0.2238,0.2238,1.0049
3,1.4339,3,5.3329,3.3335,2.6664,0.6670,0.2502,2.6664,1.3340,2.9376,2.9376,13.0973,13.0973,2.9376,2.9376,3.7192
5,1.9312,7,17.8441,4.0069,2.9740,0.6912,0.2324,2.9740,0.1152,0.8433,2.1158,3.9344,9.6329,0.8433,2.1158,9.2401
6,29.9979,16,62.7897,8.1599,4.1860,2.0381,0.4869,4.1860,0.1799,1.1860,2.9356,12.8819,60.8666,1.1860,2.9356,2.0931
7,16.5628,9,30.1863,9.3154,3.7733,2.5669,0.6803,3.7733,0.1559,1.2503,2.7728,4.7276,8.4570,1.2503,2.7728,1.8225
10,7.2682,6,17.2203,5.4498,3.4441,1.1575,0.3361,3.4441,0.5956,1.7949,2.9333,5.4503,12.1509,1.7949,2.9333,2.3693
11,1.4003,6,26.9086,12.5246,5.3817,4.5522,0.8459,5.3817,1.9555,1.5744,2.2334,5.3148,8.9184,1.5744,2.2334,19.2161
12,19.0046,3,19.1695,13.7601,9.5847,4.1754,0.4356,9.5847,8.3507,0.2918,0.2918,15.1551,15.1551,0.2918,0.2918,1.0087
13,19.5065,8,26.5002,9.2079,4.1010,2.8396,0.6924,3.7857,0.5498,1.6097,2.7487,4.8969,8.8917,1.6097,2.7487,1.3585
15,9.5954,5,23.7599,13.6917,5.9400,4.5516,0.7663,5.9400,0.0025,2.0819,2.6742,11.4292,19.2904,2.0819,2.6742,2.4762
16,20.6004,3,20.6437,12.2213,10.3219,1.8994,0.1840,10.3219,3.7988,0.1318,0.1318,15.3208,15.3208,0.1318,0.1318,1.0021
