ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
2,6.0042,4,22.1049,13.8671,7.3683,5.3779,0.7299,7.3683,3.4217,2.9216,2.9511,42.8772,56.3091,2.9216,2.9511,3.6815
4,0.4789,4,2.1262,1.1912,0.8294,0.3618,0.4363,0.7087,0.7237,2.7558,2.7558,2.7733,2.7733,1.3779,1.3779,4.4395
6,16.0541,13,63.7484,15.4272,5.2238,5.4048,1.0347,5.3124,1.7430,1.8860,3.1391,593.5986,4346.8797,1.5416,3.1340,3.9708
7,12.9632,3,13.8926,13.1148,6.9463,6.1685,0.8880,6.9463,12.3369,1.7961,1.7961,6.8276,6.8276,1.7961,1.7961,1.0717
9,5.6608,4,6.1795,2.9457,1.6169,1.3288,0.8218,2.0598,2.6576,2.5140,2.5140,5.2172,5.2172,1.2570,1.2570,1.0916
10,9.7188,4,12.1234,7.6579,4.0411,2.8949,0.7164,4.0411,1.8819,1.7815,2.3945,3.6182,4.0496,1.7815,2.3945,1.2474
11,14.9460,10,18.4804,14.3393,2.4914,4.8432,1.9440,2.0534,0.0076,1.7990,2.1696,3.0487,7.9252,1.5431,2.1696,1.2365
15,2.3474,6,5.8082,2.8803,1.4481,1.0135,0.6999,1.1616,0.5251,2.1252,2.7982,2.9074,4.2844,1.4257,1.4523,2.4744
16,12.9765,3,14.4374,13.6619,7.2187,6.4432,0.8926,7.2187,12.8863,2.6680,2.6680,15.7397,15.7397,2.6680,2.6680,1.1126
17,3.4580,3,11.3211,6.0415,5.6606,0.3810,0.0673,5.6606,0.7619,2.5351,2.5351,9.4801,9.4801,2.5351,2.5351,3.2739
19,12.4552,4,13.0165,5.9287,3.5439,2.3848,0.6729,4.3388,2.3848,1.0703,1.0703,6.4667,6.4667,1.0703,1.0703,1.0451
